0.png:[[[(684, 410), (732, 417)], (712, 411)], [[(809, 428), (853, 427)], (827, 420)]]
591.png:[[[(582, 389), (637, 391)], (604, 384)], [[(711, 389), (753, 385)], (728, 378)]]
592.png:[[[(594, 395), (641, 395)], (620, 388)], [[(721, 391), (764, 389)], (741, 381)]]
593.png:[[[(592, 390), (642, 392)], (615, 386)], [[(716, 387), (761, 384)], (733, 376)]]
594.png:[[[(572, 388), (628, 392)], (600, 380)], [[(700, 383), (751, 382)], (727, 373)]]
595.png:[[[(593, 406), (645, 408)], (620, 409)], [[(714, 410), (757, 411)], (735, 408)]]
596.png:[[[(572, 403), (616, 403)], (585, 397)], [[(688, 400), (737, 396)], (699, 392)]]
597.png:[[[(538, 403), (574, 403)], (551, 399)], [[(649, 394), (702, 386)], (667, 385)]]
598.png:[[[(521, 405), (548, 402)], (528, 398)], [[(616, 387), (659, 376)], (624, 373)]]
599.png:[[[(517, 406), (560, 403)], (534, 397)], [[(628, 391), (674, 382)], (644, 378)]]
6.png:[[[(635, 432), (680, 431)], (660, 431)], [[(757, 430), (803, 423)], (780, 425)]]
60.png:[[[(597, 430), (642, 429)], (629, 429)], [[(716, 426), (766, 422)], (751, 424)]]
600.png:[[[(546, 404), (587, 398)], (568, 405)], [[(660, 390), (709, 386)], (686, 385)]]
601.png:[[[(550, 406), (598, 403)], (574, 405)], [[(676, 395), (723, 391)], (701, 392)]]
602.png:[[[(560, 410), (619, 407)], (602, 406)], [[(687, 402), (740, 396)], (718, 398)]]
603.png:[[[(601, 413), (651, 410)], (640, 405)], [[(724, 409), (768, 401)], (754, 400)]]
604.png:[[[(626, 407), (680, 408)], (663, 399)], [[(749, 407), (794, 406)], (780, 403)]]
605.png:[[[(617, 397), (670, 404)], (647, 391)], [[(744, 398), (783, 400)], (765, 390)]]
606.png:[[[(584, 402), (638, 402)], (607, 392)], [[(708, 400), (764, 396)], (726, 386)]]
607.png:[[[(550, 394), (601, 391)], (567, 386)], [[(669, 380), (724, 380)], (693, 374)]]
608.png:[[[(527, 400), (571, 400)], (543, 391)], [[(643, 381), (696, 380)], (661, 375)]]
609.png:[[[(512, 410), (551, 402)], (530, 399)], [[(626, 389), (676, 379)], (640, 374)]]
61.png:[[[(593, 432), (636, 431)], (619, 435)], [[(712, 431), (757, 425)], (740, 429)]]
610.png:[[[(490, 418), (525, 411)], (499, 408)], [[(595, 393), (647, 382)], (610, 383)]]
611.png:[[[(490, 417), (532, 413)], (504, 412)], [[(590, 397), (653, 382)], (615, 382)]]
612.png:[[[(497, 416), (539, 413)], (516, 407)], [[(612, 392), (659, 379)], (628, 379)]]
613.png:[[[(534, 409), (584, 407)], (562, 396)], [[(657, 393), (703, 382)], (682, 378)]]
614.png:[[[(549, 409), (597, 405)], (573, 400)], [[(677, 397), (717, 389)], (693, 385)]]
615.png:[[[(541, 419), (593, 415)], (569, 411)], [[(663, 404), (712, 396)], (687, 394)]]
616.png:[[[(539, 414), (586, 412)], (566, 410)], [[(670, 404), (712, 396)], (687, 396)]]
617.png:[[[(534, 413), (579, 413)], (555, 412)], [[(658, 403), (698, 394)], (674, 396)]]
618.png:[[[(529, 417), (574, 411)], (562, 411)], [[(646, 401), (700, 390)], (681, 393)]]
619.png:[[[(562, 412), (612, 412)], (596, 408)], [[(685, 405), (730, 394)], (718, 392)]]
62.png:[[[(593, 432), (635, 430)], (617, 436)], [[(725, 430), (761, 421)], (742, 428)]]
620.png:[[[(576, 406), (630, 403)], (614, 399)], [[(700, 400), (743, 391)], (727, 390)]]
621.png:[[[(536, 409), (579, 405)], (552, 399)], [[(663, 395), (701, 384)], (674, 382)]]
622.png:[[[(501, 414), (545, 417)], (520, 402)], [[(614, 396), (674, 385)], (635, 389)]]
623.png:[[[(487, 424), (521, 423)], (496, 412)], [[(593, 401), (641, 392)], (601, 389)]]
624.png:[[[(469, 427), (502, 425)], (477, 418)], [[(570, 404), (619, 392)], (584, 393)]]
625.png:[[[(474, 424), (516, 423)], (491, 417)], [[(581, 407), (632, 392)], (599, 387)]]
626.png:[[[(498, 436), (550, 429)], (532, 425)], [[(622, 408), (673, 399)], (648, 397)]]
627.png:[[[(521, 430), (573, 423)], (556, 418)], [[(649, 403), (699, 393)], (670, 391)]]
628.png:[[[(536, 425), (586, 421)], (568, 417)], [[(662, 407), (706, 397)], (690, 395)]]
629.png:[[[(565, 422), (614, 418)], (600, 415)], [[(694, 410), (732, 398)], (718, 394)]]
63.png:[[[(602, 427), (649, 427)], (637, 425)], [[(729, 425), (772, 422)], (755, 422)]]
630.png:[[[(546, 440), (603, 433)], (585, 432)], [[(670, 424), (709, 415)], (693, 416)]]
631.png:[[[(552, 434), (608, 431)], (591, 430)], [[(674, 418), (721, 408)], (701, 406)]]
632.png:[[[(510, 451), (561, 443)], (533, 448)], [[(638, 438), (689, 422)], (655, 426)]]
633.png:[[[(494, 460), (545, 455)], (524, 457)], [[(619, 442), (675, 425)], (646, 433)]]
634.png:[[[(525, 456), (578, 456)], (564, 455)], [[(654, 437), (698, 423)], (679, 427)]]
635.png:[[[(536, 456), (589, 451)], (563, 452)], [[(663, 439), (706, 427)], (681, 432)]]
636.png:[[[(479, 452), (520, 452)], (488, 448)], [[(602, 432), (655, 422)], (612, 425)]]
637.png:[[[(448, 449), (493, 446)], (466, 445)], [[(567, 428), (630, 413)], (576, 417)]]
638.png:[[[(452, 443), (499, 441)], (478, 439)], [[(572, 415), (625, 398)], (596, 402)]]
639.png:[[[(493, 437), (538, 426)], (517, 431)], [[(608, 405), (660, 390)], (633, 396)]]
64.png:[[[(600, 434), (650, 431)], (620, 431)], [[(722, 429), (766, 426)], (739, 423)]]
65.png:[[[(602, 437), (645, 434)], (623, 437)], [[(717, 427), (770, 427)], (747, 427)]]
66.png:[[[(592, 436), (643, 434)], (619, 437)], [[(716, 432), (767, 429)], (746, 430)]]
67.png:[[[(598, 434), (648, 430)], (622, 434)], [[(718, 428), (772, 425)], (747, 425)]]
68.png:[[[(597, 431), (642, 430)], (623, 429)], [[(722, 423), (771, 420)], (749, 420)]]
69.png:[[[(593, 435), (641, 433)], (620, 438)], [[(721, 431), (770, 426)], (747, 428)]]
7.png:[[[(600, 448), (649, 447)], (625, 444)], [[(722, 436), (764, 426)], (738, 426)]]
70.png:[[[(595, 438), (647, 435)], (624, 441)], [[(721, 430), (768, 428)], (742, 432)]]
71.png:[[[(597, 436), (644, 430)], (617, 442)], [[(715, 425), (772, 424)], (746, 430)]]
72.png:[[[(598, 435), (644, 436)], (619, 434)], [[(718, 429), (769, 422)], (745, 425)]]
73.png:[[[(593, 438), (643, 437)], (627, 436)], [[(722, 433), (766, 425)], (750, 426)]]
74.png:[[[(600, 430), (644, 435)], (634, 429)], [[(718, 430), (765, 427)], (752, 422)]]
75.png:[[[(600, 432), (644, 433)], (629, 429)], [[(724, 431), (772, 423)], (749, 423)]]
76.png:[[[(587, 430), (647, 430)], (607, 424)], [[(718, 426), (769, 422)], (731, 420)]]
77.png:[[[(587, 435), (645, 432)], (617, 428)], [[(714, 425), (765, 420)], (730, 419)]]
78.png:[[[(593, 425), (647, 426)], (633, 421)], [[(723, 421), (770, 419)], (752, 417)]]
79.png:[[[(590, 431), (641, 430)], (615, 433)], [[(721, 422), (773, 423)], (745, 425)]]
8.png:[[[(580, 456), (622, 454)], (605, 453)], [[(694, 439), (751, 432)], (727, 432)]]
80.png:[[[(597, 431), (640, 430)], (618, 437)], [[(720, 424), (768, 425)], (752, 429)]]
81.png:[[[(600, 434), (647, 433)], (625, 440)], [[(727, 429), (774, 427)], (754, 429)]]
82.png:[[[(593, 432), (645, 429)], (617, 431)], [[(724, 424), (770, 426)], (745, 426)]]
83.png:[[[(594, 432), (644, 431)], (613, 430)], [[(720, 425), (771, 425)], (736, 423)]]
84.png:[[[(589, 431), (636, 431)], (609, 428)], [[(712, 426), (760, 424)], (725, 424)]]
85.png:[[[(594, 434), (639, 434)], (619, 430)], [[(717, 428), (765, 424)], (751, 424)]]
86.png:[[[(598, 437), (649, 434)], (624, 431)], [[(722, 432), (766, 427)], (752, 425)]]
87.png:[[[(598, 438), (641, 433)], (615, 433)], [[(718, 433), (762, 431)], (739, 424)]]
88.png:[[[(598, 440), (645, 438)], (616, 437)], [[(718, 431), (774, 430)], (739, 427)]]
89.png:[[[(590, 437), (639, 438)], (612, 437)], [[(714, 429), (755, 430)], (734, 428)]]
9.png:[[[(612, 427), (661, 427)], (632, 426)], [[(735, 425), (780, 415)], (758, 417)]]
90.png:[[[(596, 435), (639, 434)], (616, 439)], [[(713, 425), (766, 424)], (742, 424)]]
91.png:[[[(594, 430), (637, 429)], (613, 431)], [[(716, 425), (762, 422)], (743, 422)]]
92.png:[[[(596, 431), (638, 429)], (618, 433)], [[(715, 426), (758, 421)], (739, 421)]]
93.png:[[[(592, 431), (640, 427)], (614, 431)], [[(713, 423), (762, 420)], (742, 421)]]
94.png:[[[(589, 431), (636, 428)], (615, 425)], [[(709, 425), (753, 419)], (732, 414)]]
95.png:[[[(590, 431), (643, 429)], (624, 425)], [[(715, 425), (761, 423)], (740, 415)]]
96.png:[[[(586, 430), (642, 431)], (623, 424)], [[(724, 424), (757, 419)], (742, 416)]]
97.png:[[[(582, 438), (635, 435)], (604, 430)], [[(704, 426), (751, 425)], (721, 420)]]
98.png:[[[(594, 431), (640, 433)], (614, 431)], [[(713, 424), (759, 424)], (734, 424)]]
99.png:[[[(590, 429), (634, 428)], (618, 431)], [[(708, 424), (757, 422)], (739, 422)]]
